Account,Id,false
Account,IsDeleted,false
Account,MasterRecordId,false
Account,Name,false
Account,Type,false
Account,RecordTypeId,false
Account,ParentId,false
Account,BillingStreet,false
Account,BillingCity,false
Account,BillingState,false
Account,BillingPostalCode,false
Account,BillingCountry,false
Account,BillingLatitude,false
Account,BillingLongitude,false
Account,BillingGeocodeAccuracy,false
Account,ShippingStreet,false
Account,ShippingCity,false
Account,ShippingState,false
Account,ShippingPostalCode,false
Account,ShippingCountry,false
Account,ShippingLatitude,false
Account,ShippingLongitude,false
Account,ShippingGeocodeAccuracy,false
Account,Phone,false
Account,Fax,false
Account,AccountNumber,false
Account,Website,false
Account,PhotoUrl,false
Account,Sic,false
Account,Industry,false
Account,AnnualRevenue,false
Account,NumberOfEmployees,false
Account,Ownership,false
Account,TickerSymbol,false
Account,Description,false
Account,Rating,false
Account,Site,false
Account,OwnerId,false
Account,CreatedDate,false
Account,CreatedById,false
Account,LastModifiedDate,false
Account,LastModifiedById,false
Account,SystemModstamp,false
Account,LastActivityDate,false
Account,LastViewedDate,false
Account,LastReferencedDate,false
Account,IsCustomerPortal,false
Account,Jigsaw,false
Account,JigsawCompanyId,false
Account,AccountSource,false
Account,SicDesc,false
Account,ConnectionReceivedId,false
Account,ConnectionSentId,false
Account,A_M_Best_Rating__c,false
Account,Active__c,false
Account,MCIC_Med_Center_Division_Parent__c,false,
Account,MCIC_Middle_Name__c,false,
Account,MCIC_Mobile_Phone__c,false,
Account,MCIC_OFAC_Status_Flag__c,false,
Account,MCIC_Occupation__c,false,
Account,MCIC_Office_Phone_1__c,false,
Account,MCIC_Office_Phone_2__c,false,
Account,MCIC_Other_Phone__c,false,
Account,MCIC_Parent_EID__c,false,
Account,MCIC_Payee_Company__c,false,
Account,Approval_Submitted_By__c,false,
Account,MCIC_Payment_Approval_Rejected_Reason__c,false,
Account,MCIC_Payment_Approval_Status__c,false,
Account,MCIC_Payments_Frozen__c,false,
Account,MCIC_Postal_Code__c,false,
Account,MCIC_Race__c,false,
Account,MCIC_SSN_Last_4__c,false,
Account,MCIC_Sec_Dept_EID__c,false,
Account,MCIC_State__c,false,
Account,MCIC_Table_Type__c,false,
Account,MCIC_Tax_ID__c,false,
Account,MCIC_Title__c,false,
Account,MCIC_Vendor_ID__c,false,
Account,MCIC_W9_Form__c,false,
Account,MCIC_Work_Phone__c,false,
Account,Deleted__c,false,
Account,Plan_Contact_Fname__c,false,
Account,Plan_Contact_Lname__c,false,
Account,Plan_Insurance_Type__c,false,
Account,Reserve_Approval_Limit__c,false,
Account,State_out_side_USA__c,false,
Account,Supervisor__c,false,
Account,User__c,false,
Account,Account_Record_Type__c,false,
Account,MCIC_Last_Name_Or_Business_Name__c,false,
Account,Tax_ID_Parent_AMC__c,false,
Account,SubmittedForApproval__c,false,
Account,OFAC_Date__c,false,
Account,OFAC_Days_Remaining__c,false,
Account,Attorney_Hierarchy_ID__c,false,
Account,Date_Of_Birth__c,false,
Account,SSN__c,false,
Account,duplicateKey__c,false,
Account,Parent_AMC_Org_Hierarchy__c,false,
Account,Payee_Org_Hierarchy__c,false,
Account,Ultimate_Parent_Attorney_Firm__c,false,
Account,Merge_To__c,false,
Adverse_Outcome__c,Id,false,
Adverse_Outcome__c,IsDeleted,false,
Adverse_Outcome__c,Name,false,
Adverse_Outcome__c,CreatedDate,false,
Adverse_Outcome__c,CreatedById,false,
Adverse_Outcome__c,LastModifiedDate,false,
Adverse_Outcome__c,LastModifiedById,false,
Adverse_Outcome__c,SystemModstamp,false,
Adverse_Outcome__c,LastActivityDate,false,
Adverse_Outcome__c,ConnectionReceivedId,false,
Adverse_Outcome__c,ConnectionSentId,false,
Adverse_Outcome__c,Patient_Safety_Case__c,false,
Adverse_Outcome__c,Adverse_Outcome_Key__c,false,
Adverse_Outcome__c,Adverse_Outcome_MultiSelect__c,true,;
Adverse_Outcome__c,Adverse_Outcome_Other__c,false,
Adverse_Outcome__c,Adverse_Outcome__c,false,
Adverse_Outcome__c,Effected_Body_Part_s__c,true,;
Adverse_Outcome__c,Order__c,false,
Adverse_Outcome__c,PSLP_ID_Mirror_for_Duplicate__c,false,
Adverse_Outcome__c,PSLP_Patient__c,false,
Adverse_Outcome__c,Patient_Type__c,false,
Adverse_Outcome__c,Ranking__c,false,
Adverse_Outcome__c,Type_of_Injury_Adverse_Outcome__c,false,
Adverse_Outcome__c,PrimaryClinicalAdverseOutcome__c,false,
Audit__c,Id,false,
Audit__c,OwnerId,false,
Audit__c,IsDeleted,false,
Audit__c,Name,false,
Audit__c,CreatedDate,false,
Audit__c,CreatedById,false,
Audit__c,LastModifiedDate,false,
Audit__c,LastModifiedById,false,
Audit__c,SystemModstamp,false,
Audit__c,LastViewedDate,false,
Audit__c,LastReferencedDate,false,
Audit__c,ConnectionReceivedId,false,
Audit__c,ConnectionSentId,false,
Audit__c,Audit_As_Of_Date__c,false,
Audit__c,Audit_Type__c,false,
Audit__c,MCIC_Key__c,false,
Audit__c,MCIC_Premium__c,false,
Audit__c,Policy_Year__c,false,
CP_ISO_Class__c,Id,false,
CP_ISO_Class__c,OwnerId,false,
CP_ISO_Class__c,IsDeleted,false,
CP_ISO_Class__c,Name,false,
CP_ISO_Class__c,CreatedDate,false,
CP_ISO_Class__c,CreatedById,false,
CP_ISO_Class__c,LastModifiedDate,false,
CP_ISO_Class__c,LastModifiedById,false,
CP_ISO_Class__c,SystemModstamp,false,
CP_ISO_Class__c,LastActivityDate,false,
CP_ISO_Class__c,LastViewedDate,false,
CP_ISO_Class__c,LastReferencedDate,false,
CP_ISO_Class__c,ConnectionReceivedId,false,
CP_ISO_Class__c,ConnectionSentId,false,
CP_ISO_Class__c,CP_ISO_Class_Key__c,false,
CP_ISO_Class__c,Chargeback_Rate_Year_1__c,false,
CP_ISO_Class__c,Chargeback_Rate_Year_2__c,false,
CP_ISO_Class__c,Chargeback_Rate_Year_3__c,false,
CP_ISO_Class__c,Chargeback_Rate_Year_4__c,false,
CP_ISO_Class__c,ISO_Code_Description__c,false,
CP_ISO_Class__c,ISO_Code__c,false,
CP_ISO_Class__c,Limit_2_Chargeback_Rate_Year_1__c,false,
CP_ISO_Class__c,Limit_2_Chargeback_Rate_Year_2__c,false,
CP_ISO_Class__c,Limit_2_Chargeback_Rate_Year_3__c,false,
CP_ISO_Class__c,Limit_2_Chargeback_Rate_Year_4__c,false,
CP_ISO_Class__c,Limit_2_Chargeback_Rate_Year_5__c,false,
CP_ISO_Class__c,Limit_2_Step_Year_1__c,false,
CP_ISO_Class__c,Limit_2_Step_Year_2__c,false,
CP_ISO_Class__c,Limit_2_Step_Year_3__c,false,
CP_ISO_Class__c,Limit_2_Step_Year_4__c,false,
CP_ISO_Class__c,MCIC_Class_Description__c,false,
CP_ISO_Class__c,MCIC_Class__c,false,
CP_ISO_Class__c,Policy_Year__c,false,
CP_ISO_Class__c,State__c,false,
CP_ISO_Class__c,Step_Year_1__c,false,
CP_ISO_Class__c,Step_Year_2__c,false,
CP_ISO_Class__c,Step_Year_3__c,false,
CP_ISO_Class__c,Step_Year_4__c,false,
CP_ISO_Class__c,Step_Year_5__c,false,
CP_ISO_Class__c,Org_Hierarchy__c,false,
Claim_Transaction__c,Id,false,
Claim_Transaction__c,IsDeleted,false,
Claim_Transaction__c,Name,false,
Claim_Transaction__c,RecordTypeId,false,
Claim_Transaction__c,CreatedDate,false,
Claim_Transaction__c,CreatedById,false,
Claim_Transaction__c,LastModifiedDate,false,
Claim_Transaction__c,LastModifiedById,false,
Claim_Transaction__c,SystemModstamp,false,
Claim_Transaction__c,LastActivityDate,false,
Claim_Transaction__c,LastViewedDate,false,
Claim_Transaction__c,LastReferencedDate,false,
Claim_Transaction__c,ConnectionReceivedId,false,
Claim_Transaction__c,ConnectionSentId,false,
Claim_Transaction__c,Claim__c,false,
Claim_Transaction__c,Adjustment__c,false,
Claim_Transaction__c,Amount__c,false,
Claim_Transaction__c,Approval_By__c,false,
Claim_Transaction__c,Approval_Status__c,false,
Claim_Transaction__c,BI_Incurred__c,false,
Claim_Transaction__c,BI_Paid__c,false,
Claim_Transaction__c,Bank_Account_Number__c,false,
Claim_Transaction__c,Category_SRC__c,false,
Claim_Transaction__c,Category__c,false,
Claim_Transaction__c,Category_and_Transaction_Code__c,false,
Claim_Transaction__c,Check_Number__c,false,
Claim_Transaction__c,Check_Status__c,false,
Claim_Transaction__c,Claim_Key__c,false,
Claim_Transaction__c,Claim_Status__c,false,
Claim_Transaction__c,Date_Check_Cleared__c,false,
Claim_Transaction__c,Date_Check_Issued__c,false,
Claim_Transaction__c,Date_Check_Status__c,false,
Claim_Transaction__c,Date_Pay_Service_Begin__c,false,
Claim_Transaction__c,Date_Pay_Service_End__c,false,
Claim_Transaction__c,Date_of_Approval_Process_Status__c,false,
Claim_Transaction__c,Date_of_Invoice__c,false,
Claim_Transaction__c,Disability_Code__c,false,
Claim_Transaction__c,Expense_Paid_Delta__c,false,
Claim_Transaction__c,Expense_Paid__c,false,
Claim_Transaction__c,Expense_Recovery_Delta__c,false,
Claim_Transaction__c,Expense_Recovery__c,false,
Claim_Transaction__c,Expense_Reserve_Delta_SRC__c,false,
Claim_Transaction__c,Expense_Reserve_Delta__c,false,
Claim_Transaction__c,Expense_Reserve__c,false,
Claim_Transaction__c,Gross_Incurred__c,false,
Claim_Transaction__c,Gross_Paid__c,false,
Claim_Transaction__c,ID_Prior__c,false,
Claim_Transaction__c,Indemnity_PD_Paid_Delta__c,false,
Claim_Transaction__c,Indemnity_PD_Paid__c,false,
Claim_Transaction__c,Indemnity_PD_Recovery_Delta__c,false,
Claim_Transaction__c,Indemnity_PD_Recovery__c,false,
Claim_Transaction__c,Indemnity_PD_Reserve_Delta_SRC__c,false,
Claim_Transaction__c,Indemnity_PD_Reserve_Delta__c,false,
Claim_Transaction__c,Indemnity_PD_Reserve__c,false,
Claim_Transaction__c,Invoice_Amount__c,false,
Claim_Transaction__c,Invoice_Number__c,false,
Claim_Transaction__c,Medical_BI_Paid_Delta__c,false,
Claim_Transaction__c,Medical_BI_Paid__c,false,
Claim_Transaction__c,Medical_BI_Recovery_Delta__c,false,
Claim_Transaction__c,Medical_BI_Recovery__c,false,
Claim_Transaction__c,Medical_BI_Reserve_Delta_SRC__c,false,
Claim_Transaction__c,Medical_BI_Reserve_Delta__c,false,
Claim_Transaction__c,Medical_BI_Reserve__c,false,
Claim_Transaction__c,Net_Incurred__c,false,
Claim_Transaction__c,Net_Paid__c,false,
Claim_Transaction__c,Pay_Comment__c,false,
Claim_Transaction__c,STD_Payee_Address_Line1__c,false,
Claim_Transaction__c,STD_Payee_Address_Line_2__c,false,
Claim_Transaction__c,STD_Payee_City__c,false,
Claim_Transaction__c,STD_Payee_Country__c,false,
Claim_Transaction__c,Payee_Lookup__c,false,
Claim_Transaction__c,STD_Payee_Postal_Code__c,false,
Claim_Transaction__c,STD_Payee_State__c,false,
Claim_Transaction__c,Payee__c,false,
Claim_Transaction__c,Payment_Status__c,false,
Claim_Transaction__c,Quick_Load__c,false,
Claim_Transaction__c,Recovery_Paid__c,false,
Claim_Transaction__c,Recovery_Received_Other_Delta__c,false,
Claim_Transaction__c,Recovery_Received_Other__c,false,
Claim_Transaction__c,System_Generated_Transaction__c,false,
Claim_Transaction__c,TPA_Carrier__c,false,
Claim_Transaction__c,Tax_ID__c,false,
Claim_Transaction__c,Total_Net_Paid__c,false,
Claim_Transaction__c,Total_Reserve__c,false,
Claim_Transaction__c,TranKey__c,false,
Claim_Transaction__c,Transaction_Code_SRC__c,false,
Claim_Transaction__c,Transaction_Code__c,false,
Claim_Transaction__c,Transaction_Date__c,false,
Claim_Transaction__c,Transaction_Sequence__c,false,
Claim_Transaction__c,Transaction_Status_SRC__c,false,
Claim_Transaction__c,Transaction_Status__c,false,
Claim_Transaction__c,Type_SRC__c,false,
Claim_Transaction__c,Type__c,false,
Claim_Transaction__c,Voided_Check__c,false,
Claim_Transaction__c,User_Entered_Transaction__c,false,
Claim_Transaction__c,RecType__c,false,
Claim_Transaction__c,Adjuster_Name__c,false,
Claim_Transaction__c,Age_of_Claim__c,false,
Claim_Transaction__c,Alternate_Payee_Name__c,false,
Claim_Transaction__c,Amount_Curr1__c,false,
Claim_Transaction__c,Amount_Curr2__c,false,
Claim_Transaction__c,Amount_SRC__c,false,
Claim_Transaction__c,Auto_Created__c,false,
Claim_Transaction__c,Bank_Account__c,false,
Claim_Transaction__c,ClaimGP__c,false,
Claim_Transaction__c,ClaimantFirstNameGP__c,false,
Claim_Transaction__c,ClaimantLastNameGP__c,false,
Claim_Transaction__c,Claimant_Name__c,false,
Claim_Transaction__c,Consolidate_Payment__c,false,
Claim_Transaction__c,Coverage_Major__c,false,
Claim_Transaction__c,Currency_Code__c,false,
Claim_Transaction__c,Exchange_Rate_Curr1__c,false,
Claim_Transaction__c,Exchange_Rate_Curr2__c,false,
Claim_Transaction__c,Expense_Paid_Curr1__c,false,
Claim_Transaction__c,Expense_Paid_Curr2__c,false,
Claim_Transaction__c,GPTransSeq__c,false,
Claim_Transaction__c,Gross_Paid_Curr1__c,false,
Claim_Transaction__c,Gross_Paid_Curr2__c,false,
Claim_Transaction__c,IPR_Financial__c,false,
Claim_Transaction__c,Indemnity_Paid_Curr1__c,false,
Claim_Transaction__c,Indemnity_Paid_Curr2__c,false,
Claim_Transaction__c,Indemnity_Payment_Request__c,false,
Claim_Transaction__c,Invoice_History_ID__c,false,
Claim_Transaction__c,LSS_Invoice__c,false,
Claim_Transaction__c,MCIC_AMC_Node_Formula__c,false,
Claim_Transaction__c,MCIC_Batch_Number_SRC__c,false,
Claim_Transaction__c,MCIC_Check_Amount__c,false,
Claim_Transaction__c,MCIC_Check_Memo__c,false,
Claim_Transaction__c,MCIC_Claim_Transaction_Number__c,false,
Claim_Transaction__c,MCIC_Control_Number__c,false,
Claim_Transaction__c,MCIC_Freeze_Payments__c,false,
Claim_Transaction__c,MCIC_LSS_Invoice_ID__c,false,
Claim_Transaction__c,MCIC_LSS_User_ID__c,false,
Claim_Transaction__c,MCIC_Payee_Approval_Status__c,false,
Claim_Transaction__c,MCIC_Payment_Vendor_ID__c,false,
Claim_Transaction__c,MCIC_Policy_Section_Occurrence__c,false,
Claim_Transaction__c,MCIC_RMX_Added_By_User__c,false,
Claim_Transaction__c,MCIC_RMX_Claim_Status_Changed_By__c,false,
Claim_Transaction__c,MCIC_RMX_Date_Added__c,false,
Claim_Transaction__c,MCIC_RMX_Date_Last_Updated__c,false,
Claim_Transaction__c,MCIC_RMX_Trans_ID__c,false,
Claim_Transaction__c,MCIC_RMX_Updated_By_User__c,false,
Claim_Transaction__c,MCIC_Record_Created_By__c,false,
Claim_Transaction__c,MCIC_Record_Created_Date__c,false,
Claim_Transaction__c,MCIC_Record_Modified_By__c,false,
Claim_Transaction__c,MCIC_Record_Modified_Date__c,false,
Claim_Transaction__c,MCIC_Temp_Transaction_Date_Formula__c,false,
Claim_Transaction__c,MCIC_Void_Reason__c,false,
Claim_Transaction__c,MCIC_Voided_Date__c,false,
Claim_Transaction__c,Medical_Paid_Curr1__c,false,
Claim_Transaction__c,Medical_Paid_Curr2__c,false,
Claim_Transaction__c,Payee_Account__c,false,
Claim_Transaction__c,Payee_Address_Line_1__c,false,
Claim_Transaction__c,Payee_Address_Line_2__c,false,
Claim_Transaction__c,Payee_City__c,false,
Claim_Transaction__c,Payee_Country__c,false,
Claim_Transaction__c,Payee_Postal_Code__c,false,
Claim_Transaction__c,Payee_State__c,false,
Claim_Transaction__c,Payee_Type__c,false,
Claim_Transaction__c,Payment_Eligibility_Formula__c,false,
Claim_Transaction__c,Recovery_Paid_Curr1__c,false,
Claim_Transaction__c,Recovery_Paid_Curr2__c,false,
Claim_Transaction__c,Reimbursement__c,false,
Claim_Transaction__c,RemitToAddress__c,false,
Claim_Transaction__c,Reserve_Comment__c,false,
Claim_Transaction__c,Reserve_Worksheet__c,false,
Claim_Transaction__c,Schedule_Sequence__c,false,
Claim_Transaction__c,ToBeDeleted__c,false,
Claim_Transaction__c,Unique_Transaction_Formula__c,false,
Claim_Transaction__c,Unique_Transaction_String__c,false,
Claim_Transaction__c,payment_lss__c,false,
Claim_Transaction__c,DepartmentGP__c,false,
Claim_Transaction__c,GPDepartment__c,false,
Claim_Transaction__c,MCIC_BatchID__c,false,
Claim_Transaction__c,MCIC_Entity_GP_Invoice__c,false,
Claim_Transaction__c,MCIC_GPNode__c,false,
Claim_Transaction__c,MCIC_GP_Remit_to_Address__c,false,
Claim_Transaction__c,Matter_ID__c,false,
Claim_Transaction__c,Reissued__c,false,
Claim_Transaction__c,SentToGp__c,false,
Claim_Transaction__c,Freezed__c,false,
Claim_Transaction__c,OFAC_Block__c,false,
Claim_Transaction__c,Error_description__c,false,
Claim_Transaction__c,VendorInvoice_Number__c,false,
Claim__c,Id,false,
Claim__c,OwnerId,false,
Claim__c,IsDeleted,false,
Claim__c,Name,false,
Claim__c,RecordTypeId,false,
Claim__c,CreatedDate,false,
Claim__c,CreatedById,false,
Claim__c,LastModifiedDate,false,
Claim__c,LastModifiedById,false,
Claim__c,SystemModstamp,false,
Claim__c,LastActivityDate,false,
Claim__c,LastViewedDate,false,
Claim__c,LastReferencedDate,false,
Claim__c,ConnectionReceivedId,false,
Claim__c,ConnectionSentId,false,
Claim__c,Accident_Address_Line1__c,false,
Claim__c,Accident_Address_Line2__c,false,
Claim__c,Accident_City__c,false,
Claim__c,Accident_Country__c,false,
Claim__c,Accident_Description__c,false,
Claim__c,Accident_Photo__c,false,
Claim__c,Accident_Postal_Code__c,false,
Claim__c,Accident_State__c,false,
Claim__c,Accident_Time__c,false,
Claim__c,Activity_Engaged_In__c,false,
Claim__c,Additional_Body_Parts__c,true,;
Claim__c,Adjuster_Branch__c,false,
Claim__c,Adjuster_Email__c,false,
Claim__c,Primary_Limit_Eroded__c,false,
Claim__c,Secondary_Limit_Eroded__c,false,
Claim__c,Adjuster_Number__c,false,
Claim__c,Alcohol_Test_Completed__c,false,
Claim__c,Attorney_Representation__c,false,
Claim__c,Average_Weekly_Wage__c,false,
Claim__c,BI_Date_Reported__c,false,
Claim__c,BI_Incurred__c,false,
Claim__c,BI_Paid__c,false,
Claim__c,BI_State__c,false,
Claim__c,Cause_General__c,false,
Claim__c,Cause_SRC__c,false,
Claim__c,Cause__c,false,
Claim__c,Claim_Key__c,false,
Claim__c,Claim_Review_Status__c,false,
Claim__c,Claim_Type_SRC__c,false,
Claim__c,Claim_Type__c,false,
Claim__c,Claimant_Address_Line1__c,false,
Claim__c,Claimant_Address_Line2__c,false,
Claim__c,Claimant_Age_Range__c,false,
Claim__c,Claimant_Age_SRC__c,false,
Claim__c,Claimant_Age__c,false,
Claim__c,Claimant_City__c,false,
Claim__c,Claimant_Country__c,false,
Claim__c,Claimant_Died__c,false,
Claim__c,Claimant_Drivers_License_Number__c,false,
Claim__c,Claimant_Drivers_License_State__c,false,
Claim__c,Claimant_Email__c,false,
Claim__c,Claimant_First_Name__c,false,
Claim__c,Claimant_Gender__c,false,
Claim__c,Claimant_Home_Phone__c,false,
Claim__c,Claimant_Last_Name__c,false,
Claim__c,Claimant_Length_Service__c,false,
Claim__c,STD_Claimant_Lookup__c,false,
Claim__c,Claimant_Marital_Status_SRC__c,false,
Claim__c,Claimant_Marital_Status__c,false,
Claim__c,Claimant_Middle_Initial__c,false,
Claim__c,Claimant_Minor__c,false,
Claim__c,Claimant_Mobile_Phone__c,false,
Claim__c,Claimant_Name__c,false,
Claim__c,Claimant_Postal_Code__c,false,
Claim__c,Claimant_SSN_Last_4__c,false,
Claim__c,Claimant_SSN__c,false,
Claim__c,Claimant_State__c,false,
Claim__c,Claimant_Work_Phone__c,false,
Claim__c,Client_Report_Lag_Range__c,false,
Claim__c,Client_Report_Lag__c,false,
Claim__c,Controverted__c,false,
Claim__c,Coverage_Major_Description__c,false,
Claim__c,Coverage_Major_SRC__c,false,
Claim__c,Coverage_Major__c,false,
Claim__c,Coverage_Minor_SRC__c,false,
Claim__c,Coverage_Minor__c,false,
Claim__c,Date_Adoption_Placement__c,false,
Claim__c,Date_Attorney_Disclosure__c,false,
Claim__c,Date_Attorney_Representation__c,false,
Claim__c,Date_Claim_Received_from_TPA__c,false,
Claim__c,Date_Claim_Transmitted_to_TPA__c,false,
Claim__c,Date_Claimant_Born__c,false,
Claim__c,Date_Claimant_Died__c,false,
Claim__c,Date_Closed__c,false,
Claim__c,Date_Data_Load_Insert__c,false,
Claim__c,Date_Data_Load_Update__c,false,
Claim__c,Date_Denied__c,false,
Claim__c,CMS_Eligibility_Indicator__c,false,
Claim__c,Date_Expected_Return_to_Work__c,false,
Claim__c,Date_Hired__c,false,
Claim__c,Date_Last_Worked__c,false,
Claim__c,Date_Manufactured__c,false,
Claim__c,Date_Opened__c,false,
Claim__c,Date_Reopened__c,false,
Claim__c,Date_Reported_to_Client__c,false,
Claim__c,Date_Reported_to_TPA__c,false,
Claim__c,Date_Returned_to_Work__c,false,
Claim__c,MCIC_My_Claim__c,false,
Claim__c,Date_Suit_Filed__c,false,
Claim__c,Date_of_First_Disability__c,false,
Claim__c,Date_of_First_Medical_Visit__c,false,
Claim__c,MSP_Days_Since_Last_Query__c,false,
Claim__c,Date_of_Last_Activity__c,false,
Claim__c,Date_of_Last_Medical_Visit__c,false,
Claim__c,Date_of_Loss__c,false,
Claim__c,Date_of_Maximum_Medical_Improvement__c,false,
Claim__c,MSP_Query_Indicator__c,false,
Claim__c,Date_of_Surgery__c,false,
Claim__c,Days_Off_Work__c,false,
Claim__c,Defense_Counsel_Lookup__c,false,
Claim__c,Deleted_Code_SRC__c,false,
Claim__c,Deleted__c,false,
Claim__c,Description_of_Event__c,false,
Claim__c,Detailed_Leave_Code__c,false,
Claim__c,Driver_Age_SRC__c,false,
Claim__c,Driver_Birth_Date__c,false,
Claim__c,Driver_Gender__c,false,
Claim__c,CP_Subclass__c,false,
Claim__c,Driver_Name__c,false,
Claim__c,Drivers_Age__c,false,
Claim__c,Drug_Test_Completed__c,false,
Claim__c,Adjuster_Occurrence_Number__c,false,
Claim__c,EPA_Reportable__c,false,
Claim__c,Employee_Id__c,false,
Claim__c,Employee_Job_Title__c,false,
Claim__c,Employer_Premises__c,false,
Claim__c,Employment_Status__c,false,
Claim__c,Case_Note_Email_Reminder_Date__c,false,
Claim__c,Expense_Outstanding__c,false,
Claim__c,Family_Member_DOB__c,false,
Claim__c,Family_Member_First_Name__c,false,
Claim__c,Family_Member_Gender__c,false,
Claim__c,Family_Member_Last_Name__c,false,
Claim__c,Friday_Work_Hours__c,false,
Claim__c,Gift_Card_Amount__c,false,
Claim__c,Gift_Card__c,false,
Claim__c,Gross_Incurred__c,false,
Claim__c,Gross_Paid__c,false,
Claim__c,HICN__c,false,
Claim__c,Healthcare_Facility_Address_Line_1__c,false,
Claim__c,Healthcare_Facility_Address_Line_2__c,false,
Claim__c,Healthcare_Facility_City__c,false,
Claim__c,Healthcare_Facility_Name__c,false,
Claim__c,Healthcare_Facility_Phone__c,false,
Claim__c,Healthcare_Facility_Postal_Code__c,false,
Claim__c,Healthcare_Facility_State__c,false,
Claim__c,Hospitalized_Overnight__c,false,
Claim__c,ID_Prior__c,false,
Claim__c,Case_Note_Last_Created__c,false,
Claim__c,Age_of_Claim__c,false,
Claim__c,Indemnity_PD_Outstanding__c,false,
Claim__c,Injury_Description__c,false,
Claim__c,Alternate_Claim_Number__c,false,
Claim__c,Involved_Employee_Name__c,false,
Claim__c,Approval_Status__c,false,
Claim__c,Approved__c,false,
Claim__c,By_Pass_Claim_Trigger__c,false,
Claim__c,Legal_Status_Picklist__c,false,
Claim__c,Legal_Status_SRC__c,false,
Claim__c,Litigation_Name__c,false,
Claim__c,Claim_History_Summary__c,false,
Claim__c,Location_SRC__c,false,
Claim__c,Lost_Days__c,false,
Claim__c,Lost_Time_Indicator__c,false,
Claim__c,Lost_Time_SRC__c,false,
Claim__c,MSP_Info_Request_Status__c,false,
Claim__c,MSP_Query_Candidate__c,false,
Claim__c,MSP_Query_Data_Status__c,false,
Claim__c,Medical_BI_Outstanding__c,false,
Claim__c,Medical_Conditions__c,false,
Claim__c,Medical_Diagnosis__c,false,
Claim__c,Medical_Leave_Reason__c,true,;
Claim__c,Medications_Taken__c,false,
Claim__c,Monday_Work_hours__c,false,
Claim__c,NCCI_Class_Code__c,false,
Claim__c,NCCI_Injury_Code__c,false,
Claim__c,NCCI_Loss_CovCode__c,false,
